YEATS4	VPS72	1.0
STON2	AP2M1	1.0
SRSF9	SRSF1	1.0
SNRPA1	SNRPD1	1.0
SMARCB1	SMARCC1	1.0
SF3B1	SNRPA1	1.0
SF3B1	SF3B2	1.0
SEPT9	SEPT2	1.0
SEPT10	SEPT7	1.0
RRS1	RPF2	1.0
RPSA	RPS3	1.0
RPSA	RPS15A	1.0
RPS9	RPS5	1.0
RPS9	RPL3	1.0
RPS9	RPL27A	1.0
RPS9	RPL21	1.0
RPS8	RPS9	1.0
RPS8	RPS5	1.0
RPS8	RPS3	1.0
RPS8	RPS20	1.0
RPS8	RPS15A	1.0
RPS8	RPL3	1.0
RPS8	RPL30	1.0
RPS8	RPL27A	1.0
RPS8	RPL21	1.0
RPS8	RPL11	1.0
RPS8	EBNA1BP2	1.0
RPS6	RPS9	1.0
RPS6	RPS8	1.0
RPS6	RPS5	1.0
RPS6	RPS4X	1.0
RPS6	RPS3A	1.0
RPS6	RPS3	1.0
RPS6	RPS25	1.0
RPS6	RPS23	1.0
RPS6	RPS19	1.0
RPS6	RPS18	1.0
RPS6	RPS15A	1.0
RPS6	RPS14	1.0
RPS6	RPS13	1.0
RPS6	RPS12	1.0
RPS6	RPS11	1.0
RPS6	RPLP0	1.0
RPS6	RPL8	1.0
RPS6	RPL7A	1.0
RPS6	RPL7	1.0
RPS6	RPL6	1.0
RPS6	RPL4	1.0
RPS6	RPL37A	1.0
RPS6	RPL36	1.0
RPS6	RPL35	1.0
RPS6	RPL31	1.0
RPS6	RPL3	1.0
RPS6	RPL27A	1.0
RPS6	RPL27	1.0
RPS6	RPL24	1.0
RPS6	RPL23A	1.0
RPS6	RPL23	1.0
RPS6	RPL22	1.0
RPS6	RPL21	1.0
RPS6	RPL18A	1.0
RPS6	RPL18	1.0
RPS6	RPL15	1.0
RPS6	RPL14	1.0
RPS6	RPL13A	1.0
RPS6	RPL13	1.0
RPS6	RPL12	1.0
RPS6	RPL11	1.0
RPS6	RPL10A	1.0
RPS6	RPL10	1.0
RPS5	RPL3	1.0
RPS5	RPL21	1.0
RPS4X	RPL27A	1.0
RPS4X	RPL21	1.0
RPS4X	RPL13	1.0
RPS4X	RPL11	1.0
RPS4X	RPL10	1.0
RPS3	RPS9	1.0
RPS3	RPL3	1.0
RPS3	RPL27A	1.0
RPS3	RPL21	1.0
RPS3A	RPS9	1.0
RPS3A	RPS8	1.0
RPS3A	RPS5	1.0
RPS3A	RPS3	1.0
RPS3A	RPS15A	1.0
RPS3A	RPLP2	1.0
RPS3A	RPL3	1.0
RPS3A	RPL30	1.0
RPS3A	RPL27A	1.0
RPS3A	RPL21	1.0
RPS3A	RPL11	1.0
RPS2	RPSA	1.0
RPS2	RPS9	1.0
RPS2	RPS8	1.0
RPS2	RPS6	1.0
RPS2	RPS5	1.0
RPS2	RPS3A	1.0
RPS2	RPS3	1.0
RPS2	RPS25	1.0
RPS2	RPS20	1.0
RPS2	RPS19	1.0
RPS2	RPS18	1.0
RPS2	RPS15A	1.0
RPS2	RPS14	1.0
RPS2	RPS13	1.0
RPS2	RPS12	1.0
RPS2	RPS11	1.0
RPS2	RPS10	1.0
RPS2	RPL9P7	1.0
RPS2	RPL8	1.0
RPS2	RPL7	1.0
RPS2	RPL6	1.0
RPS2	RPL4	1.0
RPS2	RPL37A	1.0
RPS2	RPL35	1.0
RPS2	RPL32	1.0
RPS2	RPL31	1.0
RPS2	RPL3	1.0
RPS2	RPL27A	1.0
RPS2	RPL27	1.0
RPS2	RPL24	1.0
RPS2	RPL23A	1.0
RPS2	RPL23	1.0
RPS2	RPL21	1.0
RPS2	RPL19	1.0
RPS2	RPL18A	1.0
RPS2	RPL18	1.0
RPS2	RPL15	1.0
RPS2	RPL14	1.0
RPS2	RPL13A	1.0
RPS2	RPL13	1.0
RPS2	RPL11	1.0
RPS2	RPL10A	1.0
RPS2	RPL10	1.0
RPS2	ENSG00000215472	1.0
RPS26	RPL8	1.0
RPS26	RPL35	1.0
RPS26	RPL24	1.0
RPS25	RPS9	1.0
RPS25	RPS8	1.0
RPS25	RPS15A	1.0
RPS25	RPL30	1.0
RPS25	RPL27A	1.0
RPS25	RPL10	1.0
RPS23	RPS9	1.0
RPS23	RPS8	1.0
RPS23	RPS3A	1.0
RPS23	RPS25	1.0
RPS23	RPS14	1.0
RPS23	RPS13	1.0
RPS23	RPL7A	1.0
RPS23	RPL7	1.0
RPS23	RPL6	1.0
RPS23	RPL36AL	1.0
RPS23	RPL35	1.0
RPS23	RPL3	1.0
RPS23	RPL27A	1.0
RPS23	RPL27	1.0
RPS23	RPL23A	1.0
RPS23	RPL21	1.0
RPS23	RPL15	1.0
RPS23	RPL14	1.0
RPS23	RPL13	1.0
RPS23	RPL12	1.0
RPS23	RPL11	1.0
RPS23	RPL10A	1.0
RPS23	RPL10	1.0
RPS20	RPS15A	1.0
RPS19	RPSA	1.0
RPS19	RPS9	1.0
RPS19	RPS8	1.0
RPS19	RPS3A	1.0
RPS19	RPS3	1.0
RPS19	RPS15	1.0
RPS19	RPS13	1.0
RPS19	RPS12	1.0
RPS19	RPL7A	1.0
RPS19	RPL6	1.0
RPS19	RPL36	1.0
RPS19	RPL35	1.0
RPS19	RPL3	1.0
RPS19	RPL27A	1.0
RPS19	RPL27	1.0
RPS19	RPL23A	1.0
RPS19	RPL21	1.0
RPS19	RPL13	1.0
RPS19	RPL11	1.0
RPS19	RPL10A	1.0
RPS19	RPL10	1.0
