HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00000,3,Q9BQS8 O95900,FYCO1 TRUB2
HuMAP2_00001,4,P08133 Q15797 Q99426 Q9H4M9 P68402 Q15102,ANXA6 SMAD1 TBCB EHD1 PAFAH1B2 PAFAH1B3
HuMAP2_00002,5,Q93062 Q9NZC3 Q9UF11 Q15038 Q6ZRY4 A1KXE4 O43251 Q96S66 Q15434 Q9Y6M7,RBPMS GDE1 PLEKHB1 DAZAP2 RBPMS2 FAM168B RBFOX2 CLCC1 RBMS2 SLC4A7
HuMAP2_00003,5,Q15836 Q16563 Q29983 Q8WUM9 O14974 Q9Y5Y0 Q14919 Q9BWX1,VAMP3 SYPL1 MICA SLC20A1 PPP1R12A FLVCR1 DRAP1 PHF7
HuMAP2_00004,4,Q8WV99 Q9NQT8 Q9H672 P20774 Q49A92,ZFAND2B KIF13B ASB7 OGN C8orf34
HuMAP2_00005,4,Q9UHN6 P02741 Q7LGC8,CEMIP2 CRP CHST3
HuMAP2_00006,4,P07199 Q96C28 O43296  Q5CZA5,CENPB ZNF707 ZNF264 ZNF678 ZNF805
HuMAP2_00007,3,Q96Q42 Q8NFX7,ALS2 STXBP6
HuMAP2_00008,5,O75683 Q96NE9 Q6RFH5 Q9BRU9 Q9Y2G2 Q9BXY0 P56182,SURF6 FRMD6 WDR74 UTP23 CARD8 MAK16 RRP1
HuMAP2_00009,5,P09455 Q14353 O75828 P31483 Q01085 Q86Y13 Q9BZL1,RBP1 GAMT CBR3 TIA1 TIAL1 DZIP3 UBL5
HuMAP2_00010,3,Q9NYB9 Q8WUW1 Q7L576,ABI2 BRK1 CYFIP1
HuMAP2_00011,5, O00339 Q99435 Q9BXX0 Q92832 Q3ZCT1,C4orf48 MATN2 NELL2 EMILIN2 NELL1 ZNF260
HuMAP2_00012,5,Q99999 Q00888 Q9UQ72,GAL3ST1 PSG4 PSG11
HuMAP2_00013,3,Q9NV70 Q9HCH0,EXOC1 NCKAP5L
HuMAP2_00014,4,Q16527 P08243,CSRP2 ASNS
HuMAP2_00015,4,Q96MN5 Q712K3,TCEANC2 UBE2R2
HuMAP2_00016,4,P23229 A1L157,ITGA6 TSPAN11
HuMAP2_00017,5,Q96SL4 O14561 Q9NWU1 Q5U5X0 Q9HD34 O14976 Q9NU23 A6NFY7,GPX7 NDUFAB1 OXSM LYRM7 LYRM4 GAK LYRM2 SDHAF1
HuMAP2_00018,2,P15289 P34059,ARSA GALNS
HuMAP2_00019,4,P21359 P40259 Q9Y263,NF1 CD79B PLAA
HuMAP2_00020,5,Q6IC98 Q8TC07 Q9HA65 Q14807,GRAMD4 TBC1D15 TBC1D17 KIF22
HuMAP2_00021,5,Q6ICG6 P31947,KIAA0930 SFN
HuMAP2_00023,5,O00170 P16949,AIP STMN1
HuMAP2_00024,4,Q9NZZ3 Q9BY43 Q9H444 Q92620 Q9H169,CHMP5 CHMP4A CHMP4B DHX38 STMN4
HuMAP2_00025,5,Q96P63 P0C7M8,SERPINB12 CLEC2L
HuMAP2_00026,4,Q9UQ74 Q00888 Q9NYQ7 Q9NXL9 Q96PX1,PSG8 PSG4 CELSR3 MCM9 RNF157
HuMAP2_00027,3,P04040 Q9UJ68 P14416,CAT MSRA DRD2
HuMAP2_00028,5,Q9UM19 Q86WH2 Q99732,HPCAL4 RASSF3 LITAF
HuMAP2_00029,3,O95467 Q9UNF1 P38405 Q9NX40,GNAS MAGED2 GNAL OCIAD1
HuMAP2_00030,4,Q10713 Q8WV74 Q14527,PMPCA NUDT8 HLTF
HuMAP2_00031,4,Q16851 Q9UN36 Q86YR5 Q86UD0,UGP2 NDRG2 GPSM1 SAPCD2
