ID,cut_1193.94,cut_1145.7,cut_1085.4,cut_1025.1,cut_964.8,cut_904.5,cut_844.2,cut_783.9,cut_723.6,cut_663.3,cut_603,cut_542.7,cut_482.4,cut_422.1,cut_361.8,cut_301.5,cut_241.2,cut_180.9,cut_120.6,dendrogram_order
ENOG411DUYC,8,19,44,74,87,94,100,108,118,125,139,147,162,186,203,225,252,291,327,1.0
ENOG411DZDB,8,19,44,74,87,94,100,108,118,125,139,147,162,186,203,225,252,291,327,2.0
ENOG411DQCI,8,19,50,84,100,107,113,123,139,148,164,176,191,220,240,264,295,335,375,3.0
ENOG411DS36,8,19,50,84,100,107,113,123,139,148,164,176,191,220,240,264,295,335,375,4.0
ENOG411DQEQ,8,21,53,88,105,112,120,130,146,156,172,184,199,228,249,274,305,347,387,5.0
ENOG411DZZD,8,21,53,88,105,112,120,130,146,156,172,184,199,228,249,274,305,347,387,6.0
ENOG411DQDJ,8,21,56,91,108,115,124,134,150,161,180,192,207,237,259,285,317,360,401,7.0
ENOG411E16G,8,21,56,91,108,115,124,134,150,161,180,192,207,237,259,285,317,360,401,8.0
ENOG411DUTJ,8,23,64,100,121,128,140,151,168,185,208,223,239,271,297,330,367,413,457,9.0
ENOG411DXQ0,8,23,64,100,121,128,140,151,168,185,208,223,239,271,297,330,367,413,457,10.0
ENOG411E3B6,8,28,72,110,132,140,156,169,192,213,239,261,280,315,345,383,423,471,518,11.0
ENOG411EEJW,8,28,72,110,132,140,156,169,192,213,239,261,280,315,345,383,423,471,518,12.0
ENOG411DQBX,8,34,81,121,144,152,171,187,211,236,262,287,309,345,378,418,459,508,556,13.0
ENOG411DRV7,8,34,81,121,144,152,171,187,211,236,262,287,309,345,378,418,459,508,556,14.0
ENOG411DZJC,8,27,71,107,129,136,149,161,179,200,226,246,264,298,327,363,402,450,495,15.0
ENOG411E16V,8,27,71,107,129,136,149,161,179,200,226,246,264,298,327,363,402,450,495,16.0
ENOG411DV78,4,26,70,106,128,135,148,160,178,199,225,244,262,296,325,361,400,448,493,17.0
ENOG411E2D3,4,26,70,106,128,135,148,160,178,199,225,244,262,296,325,361,400,448,493,18.0
ENOG411DR7C,4,8,14,22,25,27,29,32,32,34,37,39,39,44,47,54,63,83,99,19.0
ENOG411DVVT,4,8,14,22,25,27,29,32,32,34,37,39,39,44,47,54,63,83,99,20.0
ENOG411DX0Y,4,29,73,111,133,141,157,170,193,215,241,263,283,318,348,387,427,475,522,21.0
ENOG411DYTR,4,29,73,111,133,141,157,170,193,215,241,263,283,318,348,387,427,475,522,22.0
ENOG411EBSN,4,33,80,119,142,150,169,185,208,233,259,284,306,341,373,413,454,503,551,23.0
ENOG411ECB4,4,33,80,119,142,150,169,185,208,233,259,284,306,341,373,413,454,503,551,24.0
ENOG411DRUB,4,30,75,113,135,143,161,176,199,222,248,271,291,326,358,397,437,486,533,25.0
ENOG411EKI1,4,30,75,113,135,143,161,176,199,222,248,271,291,326,358,397,437,486,533,26.0
ENOG411DZ6R,4,31,77,116,139,147,165,181,204,228,254,278,299,334,366,406,446,495,543,27.0
ENOG411EKJB,4,31,77,116,139,147,165,181,204,228,254,278,299,334,366,406,446,495,543,28.0
ENOG411E2KZ,4,32,78,117,140,148,166,182,205,229,255,279,300,335,367,407,448,497,545,29.0
ENOG411E440,4,32,78,117,140,148,166,182,205,229,255,279,300,335,367,407,448,497,545,30.0
ENOG411DRZV,4,35,83,123,146,154,173,189,213,239,265,290,312,349,382,422,464,513,561,31.0
ENOG411E0KV,4,35,83,123,146,154,173,189,213,239,265,290,312,349,382,422,464,513,561,32.0
ENOG411DR34,9,36,84,124,148,157,177,193,218,244,270,295,321,358,392,433,476,525,574,33.0
ENOG411DU16,9,36,84,124,148,157,177,193,218,244,270,295,321,358,392,433,476,525,574,34.0
ENOG411DURE,9,39,87,130,156,167,187,203,229,259,286,311,338,375,412,454,499,550,600,35.0
ENOG411DV8Y,9,39,87,130,156,167,187,203,229,259,286,311,338,375,412,454,499,550,600,36.0
ENOG411DT72,9,38,86,128,153,164,184,200,226,256,282,307,333,370,407,449,493,544,594,37.0
ENOG411DTCW,9,38,86,128,153,164,184,200,226,256,282,307,333,370,407,449,493,544,594,38.0
ENOG411DTXV,9,40,88,132,158,169,189,205,231,261,289,314,342,380,417,459,505,557,607,39.0
ENOG411DUD2,9,40,88,132,158,169,189,205,231,261,289,314,342,380,417,459,505,557,607,40.0
ENOG411DUNT,10,41,89,134,161,172,192,208,235,265,293,318,347,388,425,468,515,568,619,41.0
ENOG411E9UG,10,41,89,134,161,172,192,208,235,265,293,318,347,388,425,468,515,568,619,42.0
ENOG411DSDF,10,42,92,137,164,175,196,214,242,274,303,328,359,401,438,482,529,582,633,43.0
ENOG411DY1I,10,42,92,137,164,175,196,214,242,274,303,328,359,401,438,482,529,582,633,44.0
ENOG411EBRW,10,43,93,138,167,179,200,218,246,278,308,334,365,407,444,488,535,588,639,45.0
ENOG411EE5C,10,43,93,138,167,179,200,218,246,278,308,334,365,407,444,488,535,588,639,46.0
ENOG411DQKR,10,44,94,139,168,180,201,219,247,279,309,335,366,408,445,489,536,589,640,47.0
ENOG411DQXX,10,44,94,139,168,180,201,219,247,279,309,335,366,408,445,489,536,589,640,48.0
ENOG411DUPV,11,61,119,178,216,249,285,316,356,392,433,476,515,565,612,663,717,772,828,49.0
ENOG411DWA5,11,61,119,178,216,249,285,316,356,392,433,476,515,565,612,663,717,772,828,50.0
ENOG411DPYQ,11,47,97,147,179,195,219,239,269,302,334,365,400,443,480,525,573,628,682,51.0
ENOG411DWYK,11,47,97,147,179,195,219,239,269,302,334,365,400,443,480,525,573,628,682,52.0
ENOG411DURV,11,45,95,143,173,185,207,226,255,287,317,346,378,420,457,502,549,602,654,53.0
ENOG411E4FQ,11,45,95,143,173,185,207,226,255,287,317,346,378,420,457,502,549,602,654,54.0
ENOG411DWHN,11,46,96,144,174,186,208,227,256,288,318,348,380,422,459,504,551,604,656,55.0
ENOG411E6SH,11,46,96,144,174,186,208,227,256,288,318,348,380,422,459,504,551,604,656,56.0
ENOG411DU7F,12,50,100,150,182,199,225,245,275,308,340,371,407,451,489,535,583,638,693,57.0
ENOG411DWVW,12,50,100,150,182,199,225,245,275,308,340,371,407,451,489,535,583,638,693,58.0
ENOG411DSEW,12,49,99,149,181,198,224,244,274,307,339,370,406,450,488,534,582,637,692,59.0
ENOG411DXFW,12,49,99,149,181,198,224,244,274,307,339,370,406,450,488,534,582,637,692,60.0
ENOG411DPVB,12,55,112,166,201,225,256,282,317,352,388,424,462,507,550,599,650,705,761,61.0
ENOG411DUEJ,12,55,112,166,201,225,256,282,317,352,388,424,462,507,550,599,650,705,761,62.0
ENOG411DQ17,12,52,105,158,192,215,244,268,302,337,373,408,446,490,531,579,629,684,740,63.0
ENOG411DZVD,12,52,105,158,192,215,244,268,302,337,373,408,446,490,531,579,629,684,740,64.0
ENOG411DQN6,13,51,104,157,191,213,242,266,299,334,369,402,440,484,525,573,623,678,734,65.0
ENOG411DSDU,13,51,104,157,191,213,242,266,299,334,369,402,440,484,525,573,623,678,734,66.0
ENOG411DXJJ,13,54,110,164,199,223,254,280,315,350,386,422,460,505,548,596,646,701,757,67.0
