acc,clustid,clustid_key,genename,key,proteinname,uniprot_link
Q8NBW4,0,0_153129,SLC38A9,153129,"Sodium-coupled neutral amino acid transporter 9 (Solute carrier family 38 member 9) (Up-regulated in lung cancer 11)
",http://www.uniprot.org/uniprot/Q8NBW4
Q7L523,0,0_10670,RRAGA,10670,"Ras-related GTP-binding protein A (Rag A) (RagA) (Adenovirus E3 14.7 kDa-interacting protein 1) (FIP-1)
",http://www.uniprot.org/uniprot/Q7L523
Q9HB90,0,0_64121,RRAGC,64121,"Ras-related GTP-binding protein C (Rag C) (RagC) (GTPase-interacting protein 2) (TIB929)
",http://www.uniprot.org/uniprot/Q9HB90
,1,1_441502,,441502,,
Q02539,1,1_3024,HIST1H1A,3024,"Histone H1.1 (Histone H1a)
",http://www.uniprot.org/uniprot/Q02539
Q92830,2,2_2648,KAT2A,2648,"Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (HsGCN5) (Lysine acetyltransferase 2A) (STAF97)
",http://www.uniprot.org/uniprot/Q92830
Q8IYH5,2,2_26009,ZZZ3,26009,"ZZ-type zinc finger-containing protein 3
",http://www.uniprot.org/uniprot/Q8IYH5
O75528,2,2_10474,TADA3,10474,"Transcriptional adapter 3 (ADA3 homolog) (hADA3) (STAF54) (Transcriptional adapter 3-like) (ADA3-like protein)
",http://www.uniprot.org/uniprot/O75528
Q9H8E8,2,2_57325,CSRP2BP,57325,"Cysteine-rich protein 2-binding protein (CSRP2-binding protein) (ADA2A-containing complex subunit 2) (ATAC2) (CRP2-binding partner) (CRP2BP)
",http://www.uniprot.org/uniprot/Q9H8E8
Q92831,2,2_8850,KAT2B,8850,"Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF)
",http://www.uniprot.org/uniprot/Q92831
Q9ULM3,2,2_55689,YEATS2,55689,"YEATS domain-containing protein 2
",http://www.uniprot.org/uniprot/Q9ULM3
O75478,2,2_6871,TADA2A,6871,"Transcriptional adapter 2-alpha (Transcriptional adapter 2-like) (ADA2-like protein)
",http://www.uniprot.org/uniprot/O75478
P31942,3,3_3189,HNRNPH3,3189,"Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9)
",http://www.uniprot.org/uniprot/P31942
Q32P51,3,3_144983,HNRNPA1L2,144983,"Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2)
",http://www.uniprot.org/uniprot/Q32P51
Q9NTJ5,4,4_22908,SACM1L,22908,"Phosphatidylinositide phosphatase SAC1 (EC 3.1.3.-) (Suppressor of actin mutations 1-like protein)
",http://www.uniprot.org/uniprot/Q9NTJ5
P35606,4,4_9276,COPB2,9276,"Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)
",http://www.uniprot.org/uniprot/P35606
Q9UBF2,4,4_26958,COPG2,26958,"Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP)
",http://www.uniprot.org/uniprot/Q9UBF2
O60869,5,5_8721,EDF1,8721,"Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)
",http://www.uniprot.org/uniprot/O60869
Q9Y6G9,5,5_51143,DYNC1LI1,51143,"Cytoplasmic dynein 1 light intermediate chain 1 (LIC1) (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)
",http://www.uniprot.org/uniprot/Q9Y6G9
Q9BY44,5,5_83939,EIF2A,83939,"Eukaryotic translation initiation factor 2A (eIF-2A) (65 kDa eukaryotic translation initiation factor 2A) [Cleaved into: Eukaryotic translation initiation factor 2A, N-terminally processed]
",http://www.uniprot.org/uniprot/Q9BY44
Q96EB6,6,6_23411,SIRT1,23411,"NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 3.5.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]
",http://www.uniprot.org/uniprot/Q96EB6
Q8NAP3,6,6_253461,ZBTB38,253461,"Zinc finger and BTB domain-containing protein 38
",http://www.uniprot.org/uniprot/Q8NAP3
Q9BWD3,7,7_26071,FAM127B,26071,"Protein FAM127B (Mammalian retrotransposon derived protein 8A)
",http://www.uniprot.org/uniprot/Q9BWD3
Q9BXD5,7,7_80896,NPL,80896,"N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase)
",http://www.uniprot.org/uniprot/Q9BXD5
O95751,7,7_23641,LDOC1,23641,"Protein LDOC1 (Leucine zipper protein down-regulated in cancer cells)
",http://www.uniprot.org/uniprot/O95751
Q17RB0,7,7_441518,FAM127C,441518,"Protein FAM127C (Mammalian retrotransposon derived protein 8B)
",http://www.uniprot.org/uniprot/Q17RB0
Q86TG7,7,7_23089,PEG10,23089,"Retrotransposon-derived protein PEG10 (Embryonal carcinoma differentiation-regulated protein) (Mammalian retrotransposon-derived protein 2) (Myelin expression factor 3-like protein 1) (MEF3-like protein 1) (Paternally expressed gene 10 protein) (Retrotransposon gag domain-containing protein 3) (Retrotransposon-derived gag-like polyprotein) (Ty3/Gypsy-like protein)
",http://www.uniprot.org/uniprot/Q86TG7
A6ZKI3,7,7_8933,FAM127A,8933,"Protein FAM127A (Mammalian retrotransposon derived protein 8C)
",http://www.uniprot.org/uniprot/A6ZKI3
Q15696,8,8_8233,ZRSR2,8233,"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 2) (Renal carcinoma antigen NY-REN-20) (U2(RNU2) small nuclear RNA auxiliary factor 1-like 2) (U2AF35-related protein) (URP)
",http://www.uniprot.org/uniprot/Q15696
Q96F63,8,8_90324,CCDC97,90324,"Coiled-coil domain-containing protein 97
",http://www.uniprot.org/uniprot/Q96F63
Q9HAP6,9,9_64130,LIN7B,64130,"Protein lin-7 homolog B (Lin-7B) (hLin7B) (Mammalian lin-seven protein 2) (MALS-2) (Vertebrate lin-7 homolog 2) (Veli-2) (hVeli2)
",http://www.uniprot.org/uniprot/Q9HAP6
