acc,ClusterID,clustid_key,proteinname,genename,geneid
O14818,0,0_O14818,Proteasome subunit alpha type-7,PSMA7,5688
P20618,0,0_P20618,Proteasome subunit beta type-1,PSMB1,5689
P25786,0,0_P25786,Proteasome subunit alpha type-1,PSMA1,5682
P25787,0,0_P25787,Proteasome subunit alpha type-2,PSMA2,5683
P25788,0,0_P25788,Proteasome subunit alpha type-3,PSMA3,5684
P25789,0,0_P25789,Proteasome subunit alpha type-4,PSMA4,5685
P28062,0,0_P28062,Proteasome subunit beta type-8,PSMB8,5696
P28065,0,0_P28065,Proteasome subunit beta type-9,PSMB9,5698
P28066,0,0_P28066,Proteasome subunit alpha type-5,PSMA5,5686
P28070,0,0_P28070,Proteasome subunit beta type-4,PSMB4,5692
P28072,0,0_P28072,Proteasome subunit beta type-6,PSMB6,5694
P28074,0,0_P28074,Proteasome subunit beta type-5,PSMB5,5693
P40306,0,0_P40306,Proteasome subunit beta type-10,PSMB10,5699
P49720,0,0_P49720,Proteasome subunit beta type-3,PSMB3,5691
P49721,0,0_P49721,Proteasome subunit beta type-2,PSMB2,5690
P60900,0,0_P60900,Proteasome subunit alpha type-6,PSMA6,5687
Q99436,0,0_Q99436,Proteasome subunit beta type-7,PSMB7,5695
O75153,1,1_O75153,Clustered mitochondria protein homolog,CLUH,23277
P53396,1,1_P53396,ATP-citrate synthase,ACLY,47
P55160,1,1_P55160,Nck-associated protein 1-like,NCKAP1L,3071
P61201,1,1_P61201,COP9 signalosome complex subunit 2,COPS2,9318
P98171,1,1_P98171,Rho GTPase-activating protein 4,ARHGAP4,393
Q13098,1,1_Q13098,COP9 signalosome complex subunit 1,GPS1,2873
Q13576,1,1_Q13576,Ras GTPase-activating-like protein IQGAP2,IQGAP2,10788
Q7L576,1,1_Q7L576,Cytoplasmic FMR1-interacting protein 1,CYFIP1,23191
Q7L5N1,1,1_Q7L5N1,COP9 signalosome complex subunit 6,COPS6,10980
Q8IZP0,1,1_Q8IZP0,Abl interactor 1,ABI1,10006
Q92905,1,1_Q92905,COP9 signalosome complex subunit 5,COPS5,10987
Q96F07,1,1_Q96F07,Cytoplasmic FMR1-interacting protein 2,CYFIP2,26999
Q96K76,1,1_Q96K76,Ubiquitin carboxyl-terminal hydrolase 47,USP47,55031
Q9BT78,1,1_Q9BT78,COP9 signalosome complex subunit 4,COPS4,51138
Q9H9Q2,1,1_Q9H9Q2,COP9 signalosome complex subunit 7b,COPS7B,64708
Q9UNS2,1,1_Q9UNS2,COP9 signalosome complex subunit 3,COPS3,8533
O75390,10,10_O75390,"""Citrate synthase, mitochondrial""",CS,1431
P04179,10,10_P04179,"""Superoxide dismutase [Mn], mitochondrial""",SOD2,6648
P11766,10,10_P11766,Alcohol dehydrogenase class-3,ADH5,128
P15531,10,10_P15531,Nucleoside diphosphate kinase A,NME1,4830
P37837,10,10_P37837,Transaldolase,TALDO1,6888
P52209,10,10_P52209,"""6-phosphogluconate dehydrogenase, decarboxylating""",PGD,5226
Q04446,10,10_Q04446,"""1,4-alpha-glucan-branching enzyme""",GBE1,2632
Q9UKK9,10,10_Q9UKK9,ADP-sugar pyrophosphatase,NUDT5,11164
Q53H12,100,100_Q53H12,"""Acylglycerol kinase, mitochondrial""",AGK,55750
Q9NVI7,100,100_Q9NVI7,ATPase family AAA domain-containing protein 3A,ATAD3A,55210
Q9Y512,100,100_Q9Y512,Sorting and assembly machinery component 50 homolog,SAMM50,25813
P29401,101,101_P29401,Transketolase,TKT,7086
P54578,101,101_P54578,Ubiquitin carboxyl-terminal hydrolase 14,USP14,9097
Q9NUJ1,101,101_Q9NUJ1,"""Mycophenolic acid acyl-glucuronide esterase, mitochondrial""",ABHD10,55347
P06744,102,102_P06744,Glucose-6-phosphate isomerase,GPI,2821
